n t exp p1 p2 p3 p4 p22 p32 
150.0 0.003757639 0.004017140009845115 0.020637965520807607 0.0039801172042846465 0.003850357195896118 0.0039042579005172276 0.003907200164193662 0.0038147104980436244 
151.0 0.0038065965 0.004038733455744856 0.020775551955067386 0.004033362324284969 0.0038994408390323394 0.0039531174512944444 0.003949549062926338 0.0038588482280768163 
152.0 0.0038832615 0.004060442973502854 0.020913138389327166 0.004086961232458049 0.003948860356194758 0.004002311849489441 0.00399216961552207 0.0039034252757781216 
153.0 0.004004424 0.00408226918704344 0.02105072482358695 0.004140913928803888 0.003998615875923283 0.004051841229746154 0.004035061821980858 0.003948444550535994 
154.0 0.004008271 0.004104212723644744 0.021188311257846724 0.004195220413322484 0.004048707526757828 0.004101705726708517 0.004078225682302703 0.003993908961738892 
155.0 0.0040231335000000005 0.004126274213956721 0.021325897692106504 0.004249880686013838 0.004099135437238302 0.0041519054750204665 0.0041216611964876035 0.00403982141877527 
156.0 0.004066326 0.004148454292019273 0.021463484126366287 0.0043048947468779485 0.004149899735904617 0.00420244060932594 0.004165368364535561 0.0040861848310335845 
157.0 0.0041352789999999995 0.0041707535952804796 0.021601070560626066 0.004360262595914818 0.004201000551296684 0.004253311264268871 0.004209347186446574 0.0041330021079022915 
158.0 0.004169066 0.0041931727646149115 0.021738656994885842 0.004415984233124444 0.004252438011954415 0.004304517574493196 0.0042535976622206425 0.004180276158769847 
159.0 0.004233818 0.004215712444342048 0.021876243429145625 0.004472059658506828 0.00430421224641772 0.00435605967464285 0.004298119791857767 0.004228009893024707 
160.0 0.0045277995000000005 0.0042383732822448015 0.022013829863405405 0.004528488872061968 0.004356323383226513 0.00440793769936177 0.004342913575357949 0.004276206220055327 
161.0 0.0043418020000000005 0.004261155929588125 0.02215141629766518 0.004585271873789868 0.0044087715509207 0.0044601517832938906 0.004387979012721185 0.004324868049250165 
162.0 0.004381657 0.004284061041137739 0.022289002731924964 0.004642408663690524 0.004461556878040197 0.0045127020610831485 0.00443331610394748 0.004373998289997672 
163.0 0.004433846 0.004307089275178941 0.022426589166184743 0.004699899241763938 0.004514679493124912 0.004565588667373477 0.004478924849036828 0.00442359985168631 
164.0 0.004491134 0.004330241293535533 0.022564175600444526 0.00475774360801011 0.004568139524714758 0.004618811736808816 0.004524805247989234 0.004473675643704531 
165.0 0.0045438894999999995 0.00435351776158883 0.022701762034704302 0.00481594176242904 0.004621937101349647 0.004672371404033097 0.004570957300804696 0.004524228575440794 
166.0 0.0046443845 0.004376919348296794 0.022839348468964082 0.0048744937050207255 0.004676072351569488 0.004726267803690259 0.004617381007483214 0.004575261556283552 
167.0 0.0056243725 0.004400446726213258 0.022976934903223865 0.00493339943578517 0.004730545403914194 0.004780501070424235 0.004664076368024787 0.004626777495621262 
168.0 0.004709167500000001 0.004424100571507249 0.02311452133748364 0.004992658954722372 0.004785356386923675 0.004835071338878962 0.004711043382429417 0.004678779302842381 
169.0 0.0047577785 0.004447881563982424 0.02325210777174342 0.005052272261832331 0.004840505429137841 0.004889978743698376 0.004758282050697104 0.0047312698873353655 
170.0 0.004814158 0.004471790387096611 0.023389694206003203 0.005112239357115049 0.004895992659096606 0.004945223419526413 0.0048057923728278456 0.0047842521584886685 
171.0 0.0048654115 0.004495827727981443 0.023527280640262983 0.005172560240570523 0.004951818205339881 0.005000805501007007 0.004853574348821644 0.004837729025690749 
172.0 0.0049306915 0.004519994277462119 0.023664867074522762 0.005233234912198756 0.0050079821964075745 0.005056725122784096 0.004901627978678498 0.0048917033983300615 
173.0 0.005045172499999999 0.00454429073007724 0.02380245350878254 0.005294263371999746 0.005064484760839601 0.005112982419501613 0.004949953262398408 0.004946178185795061 
