n,gen,seq,prom
521,0.0024639705,0.100026938,0.0460608615
522,0.0024580085,0.10043116,0.046316554
523,0.002475852,0.1006106345,0.0465372845
524,0.0024777765,0.101078346,0.046664515
525,0.002461881,0.101258025,0.0467767235
526,0.002486713,0.1015397785,0.047070068
527,0.0024780255,0.0999662075,0.0470176275
528,0.0024776465,0.100292005,0.047225811
529,0.002479461,0.1007536845,0.0473656995
530,0.0024864445,0.100961273,0.047600843
531,0.0024959385,0.1005991325,0.0477866205
532,0.002492068,0.101656057,0.048072673
533,0.0025127995,0.101848138,0.048339747
534,0.0024991615,0.102340505,0.048390407
535,0.0025023085,0.102992526,0.048593812
536,0.002502931,0.103070015,0.048829905
537,0.002517653,0.103532636,0.048970312
538,0.0025202145,0.103676466,0.04922687
539,0.0025357655,0.1042598625,0.049386215
540,0.002529597,0.1042357285,0.049591398
541,0.002528774,0.1047267405,0.0497869665
542,0.0025497185,0.1050540545,0.0499365205
543,0.002540993,0.105327495,0.050116548
544,0.0025445065,0.105372528,0.050344334
545,0.002555872,0.105864807,0.0505899805
546,0.0025546005,0.105938876,0.0507913725
547,0.002571116,0.10638845,0.050964971
548,0.0025690205,0.1069912305,0.051102424
549,0.002570588,0.1074731735,0.051254308
550,0.0025788235,0.1076685645,0.0514258235
551,0.0025830655,0.1078546915,0.051557369
552,0.0025897635,0.1088384505,0.051751671
553,0.002605567,0.109085646,0.0520032035
554,0.002607081,0.109247568,0.052141631
555,0.0026020455,0.109376265,0.052343155
556,0.002602693,0.109729602,0.052557848
557,0.002624458,0.111199826,0.0528426655
558,0.0026235805,0.1120442205,0.0530224195
559,0.0026266945,0.110723378,0.0530990385
560,0.0026181645,0.1105022505,0.053387328
561,0.0026258845,0.1112789365,0.0535347595
562,0.002630574,0.11194138,0.0537424365
563,0.002641825,0.1121867165,0.054058454
564,0.0026462605,0.112397757,0.054299057
565,0.0026497635,0.1129487525,0.054433537
566,0.002661748,0.113139391,0.054753933
567,0.002662548,0.1132449725,0.0549292455
568,0.0026634355,0.113981035,0.0550943665
569,0.002660591,0.114506682,0.055134941
570,0.002669701,0.1147822375,0.055480229
571,0.0026722655,0.1150061145,0.0556671315
572,0.002687464,0.1153692395,0.055880087
573,0.0026899315,0.1155184795,0.056128916
574,0.002701067,0.1165198095,0.056351222
575,0.0026942555,0.1165021965,0.0565007615
576,0.002692511,0.1166235645,0.056733348
577,0.002708924,0.1170631185,0.056902884
578,0.0027068695,0.117262087,0.0570069975
579,0.00271619,0.1178812305,0.057213689
580,0.00271675,0.1182876415,0.057549897
581,0.0027275015,0.118868747,0.057762819
582,0.0027252645,0.119091246,0.0578882225
583,0.002747609,0.119765179,0.058146504
584,0.002742674,0.1198203345,0.058274148
585,0.0027495495,0.120259847,0.058415521
586,0.002744641,0.1203303395,0.058615402
587,0.002743384,0.1207422185,0.0589705925
588,0.0027580365,0.12101846,0.0591432775
589,0.00275249,0.1203894775,0.0592764965
590,0.0027663505,0.1208970435,0.0595978755
591,0.002782036,0.122574539,0.0599781305
592,0.002793233,0.123291934,0.0602728445
593,0.002800538,0.123730552,0.060389358
594,0.0027964205,0.1238023505,0.060559107
595,0.002812725,0.124119651,0.060844698
596,0.002810117,0.124264129,0.060974016
597,0.0028143385,0.124830305,0.061257323
598,0.0028215865,0.1254061115,0.061521411
599,0.0028151345,0.1251007475,0.0616977235
600,0.002822444,0.125394141,0.061702436
601,0.00281804,0.1257085695,0.0619962515
602,0.002819697,0.1261215505,0.062160848
603,0.0028317585,0.125926656,0.062344267
604,0.0028337585,0.1270624575,0.0625979965
605,0.002842317,0.126768845,0.062892355
606,0.0028510075,0.127721249,0.063048926
607,0.0028570215,0.1276461295,0.0631871435
608,0.00284722,0.1283028965,0.0634377485
609,0.0028668455,0.1287161845,0.06368187
610,0.0028596875,0.129007019,0.064016516
611,0.002877531,0.129898774,0.064167046
612,0.002890968,0.1306767805,0.064702007
613,0.002890726,0.131264536,0.0647908015
614,0.002892729,0.131713331,0.064985654
615,0.002894537,0.131293007,0.0652490455
616,0.0029083155,0.1318627925,0.0654540225
617,0.002913316,0.1322824515,0.065697925
618,0.002912481,0.1328632925,0.066262682
619,0.0029010045,0.132706595,0.065969404
620,0.002904446,0.133411548,0.066285188
621,0.002907771,0.13369581,0.066469789
622,0.002938696,0.1338769755,0.066873419
623,0.002925963,0.1345248745,0.067050458
624,0.002939722,0.1350894395,0.06713366
625,0.0029540435,0.1353990635,0.067330741
626,0.0029444515,0.1355378575,0.067589516
627,0.0029444245,0.1351187855,0.0677430235
628,0.0029455505,0.1366648255,0.068034759
629,0.00295737,0.135980958,0.0682449065
630,0.002966007,0.136825623,0.068563158
631,0.0029611515,0.1360839145,0.0687020865
632,0.0029659555,0.1379766775,0.0689539105
633,0.0029735355,0.1371519995,0.0693418115
634,0.002975528,0.138904412,0.0696632455
635,0.002986535,0.1395744305,0.0697764565
636,0.002985751,0.139797598,0.069900073
637,0.0029866835,0.1389156045,0.070134458
638,0.00298821,0.140195647,0.070355409
639,0.0029969085,0.1408574995,0.0706298345
640,0.003004962,0.141576803,0.0708672755
641,0.003000471,0.141655911,0.0711016795
642,0.003016473,0.14230228,0.07138308
643,0.003024106,0.1423456255,0.071629532
644,0.003026724,0.143032299,0.071791667
645,0.003030317,0.1414186475,0.072034828
646,0.0030313065,0.1420215755,0.072200063
647,0.0030294395,0.1441707725,0.072526719
648,0.003036274,0.1444082625,0.072761626
